PSRJ,RAJD,RAJD_ERR,DECJD,DECJD_ERR,DM,P0,W50,astrometry_err,racsmatch
J0002+6216,0.742375,8.333333333333333e-05,62.26927777777777,2.777777777777778e-05,218.6,0.1153635682679766,,8.784104611578831e-05,
J0006+1834,1.52,0.0008333333333333,18.58305555555556,0.0011111111111111,11.41,0.69374767047,82.0,0.00138888888888886,
J0007+7303,1.757083333333333,0.0008333333333333,73.05205555555555,0.0002222222222222,,0.3158731908527248,,0.0008624541497921856,
J0012+5431,3.097083333333333,0.0004166666666666,54.52972222222222,0.0008333333333333,131.3,3.0253007099721887,,0.0009316949906248527,
J0014+4746,3.5739583333333327,0.0001666666666666,47.77594444444444,8.333333333333333e-05,30.405,1.2406990389455896,88.7,0.00018633899812492286,
J0021-0909,5.464458333333333,0.000125,-9.166305555555557,0.0003055555555555,25.2,2.314130829094102,23.8,0.0003301351201111906,
J0023+0923,5.8203188937499695,3.5641376351921234e-08,9.389965824968376,6.104697927168523e-08,14.3216,0.0030502031047543,,7.068975446595395e-08,
J0024-7204C,5.959810833333333,4.1666666666666667e-07,-72.075418,1.1111111111111114e-07,24.5955,0.0057567799955163,0.664,4.312270748961118e-07,
J0024-7204D,6.057837166666666,2.5e-07,-72.07884788888889,5.555555555555557e-08,24.7432,0.0053575732848657,0.303,2.560984571470247e-07,
J0024-7204E,6.046271999999999,2.0833333333333333e-07,-72.08893033333332,5.555555555555557e-08,24.236,0.0035363291527624,0.9,2.156135374480559e-07,
J0024-7204F,6.016064458333333,4.1666666666666667e-07,-72.07856063888889,5.555555555555557e-08,24.382,0.0026235793525126,0.5,4.2035405417837653e-07,
J0024-7204G,6.033167916666667,4.1666666666666667e-07,-72.07769527777778,1.3888888888888888e-07,24.436,0.0040403791435651,0.7,4.3920523057894155e-07,
J0024-7204H,6.02793,8.333333333333333e-07,-72.06855741666666,1.6666666666666665e-07,24.369,0.0032103407093503,0.6,8.498365855987975e-07,
J0024-7204I,6.033061249999999,8.333333333333333e-07,-72.07768930555555,1.9444444444444445e-07,24.43,0.0034849920616628,,8.55717877819409e-07,
J0024-7204J,5.997532083333334,4.1666666666666667e-07,-72.06633077777778,1.3888888888888888e-07,24.5932,0.0021006335453524,0.209,4.3920523057894155e-07,
J0024-7204L,6.015717083333333,1.2499999999999997e-06,-72.08247861111111,5.555555555555555e-07,24.4,0.0043461679994615,0.7,1.3678969169161255e-06,
J0024-7204M,5.977041249999999,1.2499999999999997e-06,-72.09187666666666,5.555555555555555e-07,24.43,0.0036766432176002,1.2,1.3678969169161255e-06,
J0024-7204N,6.038283333333333,8.333333333333333e-07,-72.0746918611111,1.9444444444444445e-07,24.574,0.0030539543462608,,8.55717877819409e-07,
J0024-7204O,6.019385583333333,2.5e-07,-72.08160194444444,5.555555555555557e-08,24.356,0.0026433432972435,,2.560984571470247e-07,
J0024-7204Q,6.068712083333333,4.1666666666666667e-07,-72.07365677777777,1.6666666666666665e-07,24.265,0.0040331811845725,,4.4876373392787535e-07,
J0024-7204R,6.031604583333333,8.333333333333333e-07,-72.08066538888889,1.3888888888888888e-07,24.361,0.0034804627074932,,8.44828129208086e-07,
J0024-7204S,6.016580833333333,4.1666666666666667e-07,-72.07843138888889,1.1111111111111114e-07,24.376,0.0028304059578791,,4.312270748961118e-07,
J0024-7204T,6.035621249999999,2.083333333333333e-06,-72.07748111111111,8.333333333333333e-07,24.41,0.007588479807367,,2.2438186696393763e-06,
J0024-7204U,6.040985833333333,4.1666666666666667e-07,-72.06658005555555,1.1111111111111114e-07,24.337,0.0043428266963923,,4.312270748961118e-07,
J0024-7204W,6.025241666666666,4.166666666666666e-06,-72.08030222222222,5.555555555555555e-07,24.367,0.0023523445319369,,4.203540541783765e-06,
J0024-7204X,6.093273541666666,3.75e-07,-72.0215115,1.9444444444444445e-07,24.539,0.0047715229106935,,4.224140646040431e-07,
J0024-7204Y,6.005844166666667,4.1666666666666667e-07,-72.07828786111111,1.1111111111111114e-07,24.468,0.0021966571435212,,4.312270748961118e-07,
J0024-7204Z,6.025170833333333,8.333333333333332e-06,-72.08374444444443,1.6666666666666669e-06,24.45,0.0045544473839059,,8.498365855987973e-06,
J0024-7204ab,6.034006249999999,2.083333333333333e-06,-72.07988944444445,5.555555555555555e-07,24.37,0.0037046394947984,,2.156135374480559e-06,
J0026+6320,6.7106708333333325,3.333333333333333e-05,63.333575,1.388888888888889e-05,245.06,0.3183577707853687,8.1,3.611111111111111e-05,
J0030+0451,7.6142772583653695,1.6570332248865398e-07,4.861035608219258,3.644221925126263e-07,4.33294,0.004865453211496,,4.003262737811353e-07,
J0034-0534,8.590975916666666,3.333333333333333e-07,-5.576867222222222,8.333333333333333e-07,13.76517,0.001877181884585,0.65,8.975274678557507e-07,
J0034-0721,8.536959583333333,4.1666666666666667e-07,-7.364835833333333,5.555555555555555e-07,10.922,0.9429509945597656,53.0,6.944444444444445e-07,RACS_0037-06A_3547
J0036-1033,9.062541666666664,0.0001666666666666,-10.553944444444443,0.00025,23.1,0.900009289,15.0,0.0003004626062886288,
J0038-2501,9.542766666666664,4.1666666666666665e-05,-25.02520277777778,5.555555555555556e-06,5.71,0.2569264575329,14.0,4.2035405417837654e-05,
J0040+5716,10.134957916666666,4.1666666666666667e-07,57.27356472222222,2.7777777777777776e-07,92.5146,1.1182253452412,12.2,5.007710104811096e-07,
J0045-7042,11.357041666666666,0.0007083333333333,-70.70197222222222,0.0003611111111111,71.3,0.63233580002,20.0,0.0007950706545200603,
J0045-7319,11.3965,0.0002916666666666,-73.3175,5.555555555555556e-05,104.6,0.92627590497,20.0,0.0002969105323114894,
J0048+3412,12.141599275292071,0.000126008651894,34.202235326995954,7.184621620504336e-05,39.922,1.2170942960575557,21.7,0.0001450519187571302,
J0051+0423,12.875416666666666,0.0008333333333333,4.380277777777778,0.0016666666666666,13.93,0.3547317989,11.0,0.0018633899812497503,
J0054+6946,13.74631581688266,3.943164160098221e-05,69.77135172427286,1.9330560396616438e-06,116.52,0.8329113287435861,14.0,3.947899523798425e-05,
J0055+5117,13.939158749999995,4.1666666666666667e-07,51.29016694444445,2.7777777777777776e-07,44.0127,2.115171148865356,73.0,5.007710104811096e-07,
J0056+4756,14.106300394510733,0.000112673328737,47.93626721979803,3.788067963929295e-05,18.1354,0.4720366620764409,11.8,0.0001188706225213396,
J0057-7201,14.433333333333332,0.0016666666666666,-72.02194444444444,0.0005555555555555,27.0,0.7380624426,,0.0017568209223156855,
J0058+4950,14.5416204182854,0.0001500423930818,49.8405613048356,1.3480035356946644e-05,66.953,0.9960234522737444,38.0,0.00015064670947265298,
J0058-7218,14.56958333333333,0.0008333333333333,-72.30166666666666,0.0002777777777777,,0.021766107632488,,0.0008784104611578269,RACS_0127-73A_8730
J0100+8023,15.067041666666665,4.1666666666666665e-05,80.39493055555556,8.333333333333334e-06,56.0062,1.4936009186,8.01,4.2491829279939874e-05,
J0100-7211,15.179291666666664,0.0004583333333333,-72.19266666666667,0.0001388888888888,,8.020392,,0.0004789149902656831,
J0101-6422,15.296317916666665,8.333333333333333e-07,-64.3750475,5.555555555555555e-07,11.921,0.0025731519721683,,1.0015420209622193e-06,
J0102+4839,15.711116666666667,1.25e-05,48.661877777777775,1.1111111111111112e-05,53.5,0.00296,,1.67244369149893e-05,
J0102+6537,15.637464166666668,4.1666666666666667e-07,65.62039333333333,2.7777777777777776e-07,65.853,1.6791642290642343,89.7,5.007710104811096e-07,
J0106+4855,16.60441666666667,4.1666666666666665e-05,48.93105555555555,5.555555555555556e-05,70.87,0.0831573050050159,,6.944444444444444e-05,
J0107+1322,16.916458333333335,8.333333333333333e-05,13.375472222222225,0.0002222222222222,21.671,1.1973833938,28.0,0.00023733343736991063,
J0108+6608,17.09377041666666,1.2499999999999997e-06,66.14291638888889,2.7777777777777776e-07,30.5482,1.283659842947923,22.5,1.2804922857351229e-06,
J0108+6905,17.122931859908096,0.0001164143508904,69.09795668498366,3.6213011872900153e-06,61.0617,1.0711181098585134,12.0,0.00011647066117920961,
J0108-1431,17.034779233333328,3.666666666666666e-07,-14.53060752777778,3.055555555555556e-07,2.38,0.807564614019424,30.0,4.772930357498511e-07,
J0110-22,17.5,0.0,-22.0,0.0,20.8,1.262,43.0,0.0,
J0111+6624,17.841149188852604,0.0006335171182541,66.40300010713113,7.301315054171512e-05,111.2,4.301872100793386,33.0,0.0006377106391405169,
J0111-7131,17.869874999999997,0.0003749999999999,-71.52966666666667,0.0001666666666666,79.4,0.68854151164,15.0,0.00041036907507471923,
J0113-7220,18.296208333333333,0.000125,-72.34227777777777,4.1666666666666665e-05,125.49,0.32588301613,4.5,0.00013176156917368246,
J0115+6325,18.941125,4.1666666666666665e-05,63.43077777777778,2.777777777777778e-05,65.069,0.521455427473,22.0,5.007710104811096e-05,
J0117+5914,19.411086618665493,1.5386746057306243e-05,59.24400175019448,3.2597088504095527e-06,49.42068,0.1014390664823901,4.1,1.572824389502743e-05,
J0122+1416,20.50545833333333,0.000125,14.27138888888889,0.0002777777777777,17.693,1.38899395038,32.0,0.00030460711388133614,
J0131-7310,22.868791666666663,0.000125,-73.16926111111111,3.611111111111111e-05,205.22,0.348124045581,4.4,0.00013011153809589299,
J0133-6957,23.38525,4.1666666666666665e-05,-69.95824444444445,8.333333333333334e-06,22.948,0.463473741703,4.5,4.2491829279939874e-05,
J0134-2937,23.57784333333333,1.2499999999999997e-06,-29.62140055555556,1.9444444444444444e-06,21.806,0.1369616105136507,2.5,2.3115718023740608e-06,RACS_0124-31A_2021
J0137+1654,24.349499999999995,4.1666666666666665e-05,16.911694444444443,0.0001111111111111,26.0838,0.4147630265082,14.0,0.00011866671868495532,
J0137+6349,24.30569054985468,9.988229963646513e-05,63.82621357356185,6.944872571602101e-06,285.5,0.717962726847017,25.0,0.00010012344898026832,
J0139+3336,24.98845833333333,0.0001666666666666,33.61658333333334,0.00025,21.23,1.2479609557,15.0,0.0003004626062886288,
J0139+5621,24.910666666666664,8.333333333333333e-05,56.36022222222223,0.0001111111111111,101.842,1.7753438259574654,36.0,0.00013888888888888,
J0139+5814,24.832250416666664,4.999999999999999e-06,58.24217194444444,4.722222222222222e-06,73.81141,0.2724506309501236,5.2,6.877454668411081e-06,
J0141+6009,25.41640804148153,4.483396356626598e-05,60.15897743207595,1.000801253464484e-05,34.926,1.222948520545672,34.9,4.593739875041765e-05,
J0146+6145,26.593416666666663,0.0004166666666666,61.75077777777778,0.0001944444444444,,8.688994062210817,,0.00045980403770122215,
J0147+5922,26.93601416666666,4.1666666666666667e-07,59.367578888888886,2.7777777777777776e-07,40.111,0.1963213754300335,7.0,5.007710104811096e-07,
J0151-0635,27.844657916666662,8.333333333333333e-07,-6.584163055555555,5.555555555555555e-07,25.66,1.464664549333674,122.0,1.0015420209622193e-06,RACS_0151-06A_3245
J0152+0948,28.098875,0.0002083333333333,9.80277777777778,0.0005555555555555,22.881,2.74664729014,11.0,0.0005933335934247649,
J0152-1637,28.04522458333333,4.1666666666666667e-07,-16.631566944444444,5.555555555555555e-07,11.92577,0.8327416126877758,16.0,6.944444444444445e-07,RACS_0144-18A_2177
J0154+1833,28.653678041666662,1.25e-07,18.564099444444444,2.5e-06,19.7978,0.0023645697763005,,2.5031230493125982e-06,
J0156+3949,29.2301897206911,0.001251140758195,39.82459642404709,0.0008986114196072,59.833,1.8115606113139169,99.0,0.0015404076344478518,
J0157+6212,29.4580975,4.1666666666666667e-07,62.20740222222223,2.7777777777777776e-07,30.21,2.3517449364580285,33.4,5.007710104811096e-07,
J0201+7005,30.422266666666665,2.9166666666666663e-05,70.08836388888888,1.6666666666666667e-05,21.029,1.3491844718464827,11.0,3.359274061791062e-05,
J0203-0150,30.891300624999992,1.6666666666666665e-07,-1.833774277777778,2.5e-07,19.2188,0.0051733218641959,,3.0046260628866577e-07,
J0205+6449,31.408010291666667,6.249999999999998e-07,64.82814841666666,2.7777777777777776e-07,140.7,0.0657159284932442,2.3,6.839484584580628e-07,
