Gaussian_ID,RA,Dec,Total_flux_Source,S_Code
RACS_0526+25A_1765,83.623851,27.925558,1315.44,M
RACS_0526+25A_1766,83.61148,27.920655,1315.44,M
RACS_0526+25A_1771,83.60709,27.540162,1633.698,S
RACS_0526+25A_2810,81.074544,28.207062,3283.152,M
RACS_0526+25A_2808,81.100316,28.20954,3283.152,M
RACS_0526+25A_2807,81.133024,28.220743,3283.152,M
RACS_0526+25A_2806,81.124274,28.219464,3283.152,M
RACS_0526+25A_2805,81.113031,28.21447,3283.152,M
RACS_0526+25A_2812,81.125039,28.213234,3283.152,M
RACS_0526+25A_2804,81.136801,28.221158,3283.152,M
RACS_0526+25A_2803,81.09685,28.209063,3283.152,M
RACS_0526+25A_2811,81.090048,28.195775,3283.152,M
RACS_0526+25A_2809,81.109494,28.21399,3283.152,M
RACS_0540+18A_1532,87.724975,19.089022,1042.975,M
RACS_0540+18A_1531,87.725559,19.053196,1042.975,M
RACS_0540+18A_1537,87.727761,19.042363,1042.975,M
RACS_0540+18A_1536,87.723429,19.093382,1042.975,M
RACS_0540+18A_1538,87.728492,19.102246,1042.975,M
RACS_0540+18A_1534,87.724036,19.06974,1042.975,M
RACS_0540+18A_1533,87.750512,19.003848,1042.975,M
RACS_0540+18A_1535,87.738919,19.021045,1042.975,M
RACS_0540+18A_2014,86.885398,18.614609,1600.48,M
RACS_0540+18A_2013,86.887357,18.61211,1600.48,M
RACS_0553+12A_2641,89.585694,15.463285,1071.598,M
RACS_0553+12A_2640,89.600473,15.467878,1071.598,M
RACS_0553+12A_2639,89.588462,15.462579,1071.598,M
RACS_0553+12A_2638,89.576358,15.468533,1071.598,M
RACS_0553+25A_1426,91.224233,24.495785,1481.747,M
RACS_0553+25A_1428,91.236201,24.499838,1481.747,M
RACS_0553+25A_1429,91.228831,24.508069,1481.747,M
RACS_0553+25A_1425,91.233952,24.499234,1481.747,M
RACS_0553+25A_1427,91.230308,24.498945,1481.747,M
RACS_0553+25A_4064,87.790485,28.789177,1767.591,M
RACS_0553+25A_4046,87.788134,28.772477,1767.591,M
RACS_0553+25A_4047,87.782106,28.834184,1767.591,M
RACS_0553+25A_4048,87.777596,28.742435,1767.591,M
RACS_0553+25A_4049,87.789981,28.780838,1767.591,M
RACS_0553+25A_4050,87.785598,28.810751,1767.591,M
RACS_0553+25A_4051,87.790787,28.801534,1767.591,M
RACS_0553+25A_4052,87.785088,28.816588,1767.591,M
RACS_0553+25A_4065,87.793154,28.781335,1767.591,M
RACS_0553+25A_4053,87.780161,28.757363,1767.591,M
RACS_0553+25A_4055,87.793226,28.748404,1767.591,M
RACS_0553+25A_4056,87.784864,28.763963,1767.591,M
RACS_0553+25A_4057,87.790559,28.807806,1767.591,M
RACS_0553+25A_4058,87.787108,28.798216,1767.591,M
RACS_0553+25A_4059,87.784156,28.816201,1767.591,M
RACS_0553+25A_4060,87.763312,28.757614,1767.591,M
RACS_0553+25A_4061,87.784516,28.74014,1767.591,M
RACS_0553+25A_4062,87.785146,28.832505,1767.591,M
RACS_0553+25A_4063,87.769871,28.824959,1767.591,M
RACS_0553+25A_4054,87.780879,28.841513,1767.591,M
RACS_0553+25A_4530,87.171653,26.59312,1742.543,M
RACS_0553+25A_4528,87.186138,26.600391,1742.543,M
RACS_0553+25A_4527,87.177807,26.598842,1742.543,M
RACS_0553+25A_4529,87.183344,26.599247,1742.543,M
RACS_0553+25A_4524,87.167447,26.590188,1742.543,M
RACS_0553+25A_4523,87.196322,26.606324,1742.543,M
RACS_0553+25A_4522,87.185572,26.598587,1742.543,M
RACS_0553+25A_4525,87.172131,26.601239,1742.543,M
RACS_0553+25A_4526,87.192515,26.603755,1742.543,M
RACS_0553+25A_5384,86.007974,22.871145,1067.865,M
RACS_0553+25A_5381,86.009039,22.865417,1067.865,M
RACS_0553+25A_5386,86.018728,22.865675,1067.865,M
RACS_0553+25A_5385,86.003732,22.861662,1067.865,M
RACS_0553+25A_5383,86.00044,22.858993,1067.865,M
RACS_0553+25A_5382,85.998786,22.856164,1067.865,M
RACS_0553+25A_5617,85.544186,29.037044,1338.689,M
RACS_0553+25A_5616,85.549071,29.029623,1338.689,M
RACS_0553+25A_5614,85.546949,29.032913,1338.689,M
RACS_0553+25A_5615,85.549648,29.029383,1338.689,M
RACS_0553+25A_5732,85.307888,28.693562,2045.549,M
RACS_0553+25A_5731,85.305708,28.713133,2045.549,M
RACS_0553+25A_5730,85.322017,28.701978,2045.549,M
RACS_0553+25A_5729,85.308847,28.685004,2045.549,M
RACS_0553+25A_5728,85.307473,28.701514,2045.549,M
RACS_0553+25A_5735,85.312928,28.719927,2045.549,M
RACS_0553+25A_5727,85.324609,28.72763,2045.549,M
RACS_0553+25A_5733,85.320341,28.714116,2045.549,M
RACS_0553+25A_5726,85.306156,28.720526,2045.549,M
RACS_0553+25A_5734,85.322792,28.734686,2045.549,M
RACS_0553+25A_5808,85.345941,23.755619,1467.634,M
RACS_0553+25A_5809,85.332665,23.760875,1467.634,M
RACS_0553+25A_5807,85.328582,23.762928,1467.634,M
RACS_0553+25A_5804,85.333922,23.762291,1467.634,M
RACS_0553+25A_5805,85.343116,23.757584,1467.634,M
RACS_0553+25A_5806,85.337646,23.760964,1467.634,M
RACS_0606+18A_2277,93.249226,17.970312,1905.525,M
RACS_0606+18A_2276,93.24704,17.984599,1905.525,M
RACS_0606+18A_2272,93.256081,17.970018,1905.525,M
RACS_0606+18A_2274,93.2693,17.960746,1905.525,M
RACS_0606+18A_2271,93.266817,17.979696,1905.525,M
RACS_0606+18A_2273,93.284692,17.977147,1905.525,M
RACS_0606+18A_2275,93.277754,17.994164,1905.525,M
RACS_0606+18A_2896,92.389453,16.368443,1045.267,S
RACS_0606+18A_3779,91.119125,20.356001,3065.33,S
RACS_0606+18A_6685,90.963814,22.002114,3720.781,M
RACS_0606+18A_3881,90.964544,21.993946,3720.781,M
RACS_0606+18A_4179,90.488329,19.368072,1111.559,M
RACS_0606+18A_4183,90.488492,19.372635,1111.559,M
RACS_0606+18A_4182,90.496806,19.369138,1111.559,M
RACS_0606+18A_4181,90.485644,19.366955,1111.559,M
RACS_0606+18A_4180,90.495591,19.369613,1111.559,M
RACS_0606+18A_4178,90.495144,19.374962,1111.559,M
RACS_0606+18A_4568,89.981905,19.14781,1511.243,S
RACS_0606+18A_5602,88.425298,19.608482,2018.764,S
RACS_0618+12A_2052,96.440838,14.67203,3255.945,S
RACS_0618+12A_2683,95.420613,14.536447,3648.208,S
RACS_0618+12A_3105,94.738619,13.606658,2762.992,M
RACS_0618+12A_3104,94.738925,13.609148,2762.992,M
RACS_0618+12A_3528,94.079344,11.913421,1265.57,M
RACS_0618+12A_3523,94.091577,11.922964,1265.57,M
RACS_0618+12A_3525,94.100847,11.908042,1265.57,M
RACS_0618+12A_3526,94.09302,11.935319,1265.57,M
RACS_0618+12A_3527,94.098987,11.918166,1265.57,M
RACS_0618+12A_3524,94.091357,11.932527,1265.57,M
RACS_0618+12A_3529,94.092309,11.927948,1265.57,M
RACS_0620+25A_3344,95.713505,22.006993,1675.689,M
RACS_0620+25A_3343,95.707694,22.007338,1675.689,M
RACS_0620+25A_3345,95.709847,22.007356,1675.689,M
RACS_0620+25A_3652,95.306619,23.618641,1046.623,S
RACS_0620+25A_3686,95.261224,23.36405,1205.385,M
RACS_0620+25A_3687,95.262861,23.366968,1205.385,M
RACS_0620+25A_7231,93.443368,26.07702,7419.251,M
RACS_0620+25A_4655,93.453618,26.077151,7419.251,M
RACS_0620+25A_4656,93.464232,26.076617,7419.251,M
RACS_0620+25A_4657,93.46836,26.07678,7419.251,M
RACS_0620+25A_7230,93.448075,26.088217,7419.251,M
RACS_0620+25A_5544,91.924492,26.602078,1631.062,M
RACS_0620+25A_5543,91.931471,26.61684,1631.062,M
RACS_0620+25A_5542,91.92273,26.604655,1631.062,M
RACS_0620+25A_5540,91.933989,26.617575,1631.062,M
RACS_0620+25A_5539,91.919383,26.601708,1631.062,M
RACS_0620+25A_5538,91.937312,26.620077,1631.062,M
RACS_0620+25A_5537,91.92041,26.59972,1631.062,M
RACS_0620+25A_5541,91.922453,26.602807,1631.062,M
RACS_0624+00A_6293,98.493708,0.85701,1143.904,M
RACS_0624+00A_6292,98.500994,0.861452,1143.904,M
RACS_0624+00A_1743,98.506996,0.866251,1143.904,M
RACS_0624+00A_1742,98.494741,0.858009,1143.904,M
RACS_0624+00A_2565,97.051827,1.157428,1424.166,S
RACS_0624+06A_1426,99.02333,4.544782,1484.067,S
RACS_0624+06A_1802,98.303695,8.222244,1691.754,S
RACS_0624+06A_2758,96.466804,4.590002,1265.188,M
RACS_0624+06A_2757,96.465356,4.595689,1265.188,M
RACS_0624+06A_2759,96.464452,4.599183,1265.188,M
RACS_0624+06A_3434,95.474795,4.646997,1562.343,M
RACS_0624+06A_3435,95.463707,4.637621,1562.343,M
RACS_0624+06A_3436,95.468114,4.64174,1562.343,M
RACS_0624+06A_4323,94.108267,7.489774,1041.571,M
RACS_0624+06A_4324,94.118804,7.470839,1041.571,M
RACS_0624+06A_4325,94.095521,7.521553,1041.571,M
RACS_0624+06A_4326,94.088268,7.522018,1041.571,M
RACS_0624+06A_4327,94.047968,7.599166,1041.571,M
RACS_0624+06A_4328,94.045561,7.605794,1041.571,M
RACS_0624+06A_4322,94.09265,7.530459,1041.571,M
RACS_0624+06A_4329,94.061502,7.577774,1041.571,M
RACS_0624+06A_4331,94.038567,7.573157,1041.571,M
RACS_0624+06A_4332,94.022748,7.588423,1041.571,M
RACS_0624+06A_4333,94.071626,7.558332,1041.571,M
RACS_0624+06A_4330,94.060484,7.559984,1041.571,M
RACS_0624+06A_4321,94.124433,7.460786,1041.571,M
RACS_0632+18A_3928,98.179411,15.999407,2116.329,S
RACS_0632+18A_4112,97.887708,19.149188,1728.922,M
RACS_0632+18A_4119,97.885039,19.136627,1728.922,M
RACS_0632+18A_4118,97.890885,19.155676,1728.922,M
RACS_0632+18A_4117,97.894388,19.157183,1728.922,M
RACS_0632+18A_4116,97.88004,19.139647,1728.922,M
RACS_0632+18A_4115,97.889167,19.156482,1728.922,M
RACS_0632+18A_4114,97.885091,19.145189,1728.922,M
RACS_0632+18A_4113,97.882183,19.141737,1728.922,M
RACS_0632+18A_6166,95.081129,21.041579,1035.798,S
RACS_0644+12A_6074,98.063288,10.367157,2813.947,S
RACS_0649+00A_3990,102.11703,-2.369412,1800.996,M
RACS_0649+00A_3991,102.126079,-2.367911,1800.996,M
RACS_0649+06A_2444,104.005813,8.572759,1025.4,M
RACS_0649+06A_2442,104.002628,8.565021,1025.4,M
RACS_0649+06A_2443,104.004138,8.568813,1025.4,M
RACS_0649+06A_2901,103.289064,6.303138,1229.714,M
RACS_0649+06A_2902,103.27999,6.302843,1229.714,M
RACS_0649+06A_4411,101.314696,5.525812,2151.484,M
RACS_0649+06A_4409,101.320386,5.525783,2151.484,M
RACS_0649+06A_4414,101.318553,5.525795,2151.484,M
RACS_0649+06A_4413,101.326045,5.526344,2151.484,M
RACS_0649+06A_4412,101.319693,5.521631,2151.484,M
RACS_0649+06A_4410,101.323416,5.525657,2151.484,M
RACS_0649-06A_3062,103.321308,-7.329001,1094.08,S
RACS_0649-06A_3547,102.749902,-8.394199,1153.876,S
RACS_0709-12A_1193,110.339637,-12.101352,2121.637,M
RACS_0709-12A_1194,110.334456,-12.087614,2121.637,M
RACS_0709-12A_1192,110.346966,-12.100022,2121.637,M
RACS_0709-12A_1191,110.335311,-12.082858,2121.637,M
RACS_0709-12A_1188,110.339521,-12.093728,2121.637,M
RACS_0709-12A_1189,110.32922,-12.088715,2121.637,M
RACS_0709-12A_1190,110.349516,-12.090395,2121.637,M
RACS_0709-12A_2389,107.297728,-15.451791,1476.498,M
RACS_0709-12A_2386,107.301847,-15.450826,1476.498,M
RACS_0709-12A_2387,107.300497,-15.443863,1476.498,M
RACS_0709-12A_2388,107.300096,-15.447278,1476.498,M
RACS_0714+00A_3011,108.945383,-2.516891,2241.875,S
RACS_0714+00A_3930,107.722527,0.445837,1076.898,M
RACS_0714+00A_3931,107.723307,0.452058,1076.898,M
RACS_0714+00A_3932,107.723113,0.443008,1076.898,M
